protein	classRDB	TRs	anno	len	domain
4dx6_A	none	3	none	1044	[PDP:4DX5Aa, PDP:4DX5Ab, PDP:4DX5Ac, PDP:4DX5Ad, PDP:4DX5Ae, PDP:4DX5Af]
3pud_A	IV.1	4	none	291	[PDP:3A5FAa]
2qty_A	none	4	none	337	[PDP:2FOZAa]
3khj_A	none	3	none	302	[PDP:2C6QAa]
3bp5_B	none	3	none	191	[PDP:3RNQBa, PDP:3RNQBb]
2hqd_A	none	3	none	1016	[PDP:4DX5Aa, PDP:4DX5Ab, PDP:4DX5Ac, PDP:4DX5Ad, PDP:4DX5Ae, PDP:4DX5Af]
2g3y_A	none	3	none	169	[PDP:2CE2Xa]
4m76_A	none	3	none	296	[d1qqfa_]
4hnq_A	none	3	none	124	[d1jbea_]
1cpr_A	none	3	none	129	[PDP:2YKZAa]
4j23_B	IV.3	3	none	134	[d1rg8a_]
2wbs_A	none	3	none	87	[d1a1ia1, d1a1ia2, d1a1ia3]
1i8t_A	none	3	none	367	[PDP:4MO2Aa, PDP:4MO2Ab, PDP:4MO2Ac, PDP:4MO2Ad]
2whl_A	none	4	none	294	[PDP:4FK9Aa]
4cb8_A	none	3	none	488	[PDP:4CB8Aa, PDP:4CB8Ab, PDP:4CB8Ac, PDP:4CB8Ad]
1tf3_A	none	3	none	92	[d1a1ia1, d1a1ia2, d1a1ia3]
3bsz_H	none	3	none	215	[PDP:4NZULa, PDP:4NZULb]
2o1x_A	none	3	none	578	[PDP:2O1SAa, PDP:2O1SAb, PDP:2O1SAc]
4gns_B	none	3	none	673	[PDP:4GNSBa]
2w9e_H	none	4	none	215	[PDP:4NZULa, PDP:4NZULb]
1ch5_A	none	3	none	154	[PDP:3QM9Aa]
4dyy_A	none	3	none	172	[PDP:4LQHAa]
4c2a_B	III.1	4	none	266	[d1p9ag_]
3bc1_A	none	3	none	185	[PDP:2CE2Xa]
1t90_A	none	3	none	484	[PDP:4IYMAa, PDP:4IYMAb]
4b5w_A	none	3	none	256	[PDP:2VWSAa]
4mn8_B	III.1	3	none	175	[PDP:4MN8Ba]
3qjb_A	none	3	none	141	[PDP:2W72Aa]
2hre_A	none	3	none	359	[PDP:3AQIAa, PDP:3AQIAb, PDP:3AQIAc]
1m45_A	none	3	none	142	[d1exra_]
1n3c_A	none	3	none	314	[PDP:2XHIAa, PDP:2XHIAb, PDP:2XHIAc]
4mn8_A	none	7	none	759	[PDP:4MN8Aa, PDP:4MN8Ab, PDP:4MN8Ac, PDP:4MN8Ad]
1o1n_A	none	3	none	282	[d1c7ca1, d1c7ca2]
4m2o_A	none	3	none	191	[PDP:4MLWAa]
1utx_A	none	3	none	66	[PDP:2XI8Aa]
2pp3_A	IV.1	3	none	395	[PDP:2OG9Aa, PDP:2OG9Ab]
3mal_A	none	3	none	181	[PDP:3MALAa]
3cwo_X	IV.1	3	none	236	[PDP:3CWOXa]
3af8_X	none	3	none	172	[PDP:4LQHAa]
3n00_A	none	3	none	184	[PDP:3N00Aa]
4cc9_A	IV.4	6	none	307	[PDP:4CC9Aa]
3np0_X	none	3	none	174	[PDP:4LQHAa]
1vh3_A	none	3	none	211	[d1h7ea_]
3iio_A	IV.1	3	none	248	[PDP:3TDNAa]
